id_review,username,rating,review_asli,versi_aplikasi,tanggal,sentimen
1,rigo 99,5,aplikasi nya seru tapi kebanyakan iklan aku kasih bintang 5 biar dibaca,2.365.0,2026-06-23,Positif
2,Nike Ardiansyah,5,"bagus banget, aku cetak hasilnya behhhh bagusnya polll, bahkan bisa di tambah foto iidolaku, mantapp",2.365.0,2026-06-23,Positif
3,Amalia Fithri,3,"saya apresiasi untuk canva yang menyediakan fitur AI, mempermudah saya yang tidak memiliki selera editing yang baik. namun mungkin masih bisa ditingkatkan kembali karna AI nya masih banyak hal yang miss dari perintah dan sangat lamban.",2.365.0,2026-06-23,Netral
4,Vony Rah,5,aku berkerja keras,2.365.0,2026-06-23,Positif
5,Macaaa Aca,5,bagus bangat sumpahhh,Tidak Diketahui,2026-06-23,Positif
6,Hanifa Rasyida Rahma,5,aku suka apalagi aku suka bikin foto profil,2.365.0,2026-06-23,Positif
8,Antoo Nicavian,5,bagus manfaat,2.365.0,2026-06-23,Positif
9,Firda Zahara,5,sangat berguna untuk mencetak foto²dan dokumen,2.365.0,2026-06-23,Positif
10,Gani&Suro,1,"canva sekarang jelek...edit vidio sekitar 3 menit aja crash....begitu di save ke galeri dan makan ram...gimana edit vidio panjang...padahal udh langganan....""tolong perbaiki dong""...banyak bugnya",2.365.0,2026-06-23,Negatif
11,YOGI SETIAWAN,5,aplikasi nya bagus dan super lengkap lumayan lah buat desain produk digital buat untuk di jual 😁🙏,2.365.0,2026-06-23,Positif
14,Riki Supriadi,5,mantap,2.365.0,2026-06-23,Positif
15,Pengguna Google,5,jir keren banget cok gua bisa bikin wallpaper sendiri yang gue mau 😃,2.365.0,2026-06-23,Positif
16,Ramadani Habibullah,5,bagus untuk pengeditan yang simpel simpel aja,2.365.0,2026-06-23,Positif
17,Elina Aprianto,5,bagus banget,2.365.0,2026-06-23,Positif
18,Asal Jadi,1,aplikasi ny kok stuck di logo ya tolong dong aplikasi ny di benerin,2.365.0,2026-06-23,Negatif
19,Julian,5,ini cocok untuk anda,2.365.0,2026-06-23,Positif
20,Nur Sahid,5,sangat membatu untk anak2 pelajar,2.227.0,2026-06-23,Positif
22,Leo,5,sagat berguna apalagi saya seorang pelajar sagat terbantu kali,2.365.0,2026-06-23,Positif
23,Mariana Meisela (Merry),5,sangat bagus,2.365.0,2026-06-23,Positif
24,Rodiyatul ratnaramadhani,5,sangat membantu polll,2.363.0,2026-06-23,Positif
25,Kopi Indenpendent,5,mantap,2.365.0,2026-06-23,Positif
26,Jubalmelianus Taune,1,luar biasa,2.365.0,2026-06-23,Negatif
28,Desi Yulianti,5,memudahkan kita untuk membuat sesuatu,2.365.0,2026-06-23,Positif
29,Dani Setiawan,5,mantaf,2.365.0,2026-06-23,Positif
32,Syahrul Husni,5,bagus dan sangat membantu,2.365.0,2026-06-23,Positif
35,heni Lestari,5,membantu,2.362.0,2026-06-23,Positif
36,Kelvinsm Kelvinsm,5,memudahkan dalam bekerja,2.365.0,2026-06-23,Positif
38,Rini Greydi,5,baik banget,2.365.0,2026-06-23,Positif
39,Ibra Firmansyah,5,"bagus, sayangnya akun gw ngga premium 🙂",2.365.0,2026-06-23,Positif
