timestamp,usia,jenis_kelamin,program_studi,frekuensi_penggunaan,q_praktis_cepat,q_fitur_premium_gratis,q_kualitas_visual,q_mempermudah_tugas,q_terlihat_profesional,q_interaktif_kreatif,q_fitur_mudah,q_navigasi_sederhana,q_mudah_temukan_fitur,q_cepat_belajar,q_rasa_aman,q_platform_andal,q_privasi_data,q_jarang_error,q_reputasi_populer,q_pakai_berulang,q_rekomendasikan,q_pilih_canva,q_eksplorasi_fitur,q_jadikan_utama
2026-04-09 13:36:35,19,Perempuan,Sistem Informasi,Sering,4.0,4,4,5,4,5,4,4,4,4,4,5,3,4,5,5,5,5,5,4
2026-04-09 13:48:35,18,Perempuan,Kesehatan Masyarakat,Sangat Sering,4.0,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4
2026-04-09 13:49:02,19,Perempuan,Psikologi,Sering,5.0,4,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,5,5,4
2026-04-09 13:52:31,18,Perempuan,Agroteknologi,Sering,4.0,4,4,4,4,4,4,4,3,3,4,4,4,2,4,4,4,4,4,4
2026-04-09 15:18:39,19,Perempuan,Pendidikan Vokasional Tata Rias (S1),Sering,5.0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-04-09 15:58:38,19,Perempuan,Manajemen,Sangat Sering,5.0,5,5,5,4,4,5,4,5,4,3,5,3,3,5,5,5,3,3,3
2026-04-09 16:54:19,19,Perempuan,Ekonomi,Sering,4.0,3,4,5,4,4,5,4,4,4,4,5,4,5,4,4,5,5,4,4
2026-04-09 18:56:15,,Perempuan,Pendidikan Agama Islam,Sangat Sering,5.0,5,5,5,5,5,4,5,4,5,4,5,4,4,5,5,5,4,4,5
2026-04-09 18:58:58,18,Laki-Laki,Pendidikan Teknik Bangunan,Jarang,4.0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2026-04-09 19:05:16,19,Perempuan,Teknik Sipil,Sering,4.0,4,4,5,5,5,4,4,3,4,3,3,3,2,3,4,4,3,3,3
2026-04-09 19:29:29,19,Laki-Laki,Ilmu Administrasi Niaga,Sangat Sering,5.0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-04-09 20:12:41,22,Laki-Laki,Kesejahteraan Sosial,Sering,4.0,5,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,3
2026-04-09 20:13:40,20,Laki-Laki,Bimbingan Penyuluhan Islam,Sering,4.0,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,4
2026-04-09 20:15:05,20,Laki-Laki,Bimbingan Penyuluhan Islam,Sering,4.0,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
